date,1961 to 1990 long-term average,1991 to 2020 long-term average,UK,UK trend
1836,1084,1162.9,1124.8,995.7
1837,1084,1162.9,909.1,993.9
1838,1084,1162.9,937.2,994
1839,1084,1162.9,1064.6,995.3
1840,1084,1162.9,889.3,995.3
1841,1084,1162.9,1121.2,995.6
1842,1084,1162.9,925.2,994.7
1843,1084,1162.9,1008,993.3
1844,1084,1162.9,828.8,991.3
1845,1084,1162.9,1024.1,990.7
1846,1084,1162.9,1059.4,990.9
1847,1084,1162.9,962.2,990.3
1848,1084,1162.9,1181.2,990.8
1849,1084,1162.9,986.9,989.7
1850,1084,1162.9,949.1,988
1851,1084,1162.9,904.2,987.2
1852,1084,1162.9,1253,988.5
1853,1084,1162.9,941.3,987.2
1854,1084,1162.9,902.1,986.9
1855,1084,1162.9,786.5,988
1856,1084,1162.9,932.3,989.9
1857,1084,1162.9,916.4,992.8
1858,1084,1162.9,876.6,998.1
1859,1084,1162.9,1041.9,1004.5
1860,1084,1162.9,1105.5,1009.9
1861,1084,1162.9,1056.2,1015
1862,1084,1162.9,1097.5,1020.5
1863,1084,1162.9,1085.2,1026.4
1864,1084,1162.9,908.4,1032.5
1865,1084,1162.9,972.6,1039.5
1866,1084,1162.9,1172.5,1046.6
1867,1084,1162.9,1022.6,1052
1868,1084,1162.9,1144.7,1059.4
1869,1084,1162.9,1066.3,1065.8
1870,1084,1162.9,853.8,1071.2
1871,1084,1162.9,979.8,1077.1
1872,1084,1162.9,1439.1,1083.3
1873,1084,1162.9,997.6,1084.3
1874,1084,1162.9,1048.4,1084.8
1875,1084,1162.9,1093.3,1084.7
1876,1084,1162.9,1148.3,1084.4
1877,1084,1162.9,1324.4,1083.4
1878,1084,1162.9,1040.2,1079.9
1879,1084,1162.9,1018.7,1076.2
1880,1084,1162.9,1035.1,1072.3
1881,1084,1162.9,1045.5,1067.9
1882,1084,1162.9,1249.5,1063.7
1883,1084,1162.9,1120.6,1057.6
1884,1084,1162.9,1019.2,1051.2
1885,1084,1162.9,1013.9,1045
1886,1084,1162.9,1095,1038.6
1887,1084,1162.9,806.5,1031
1888,1084,1162.9,994.2,1026.6
