Game ,Score,Date,Average Temp ,Weather
Sheffield United VS Manchester United,"2,1",15/08/1992,14.6,Sun
Arsenal VS Norwich City,"2,4",15/08/1992,14.6,Sun
Bardford City VS Liverpool,"1,0",15/05/2000,16.5,Sun
Manchester United VS West Ham United,"0,1",13/05/2007,13,Sun
Chelsea VS Sunderland,"0,3",19/04/2014,9.5,Cloud
Sunderland VS Man City ,"1, 0",10/11/2013,9,Cloud
Man City VS Crystal Palace,"2,3",22/12/2018,9,Rain
Norwich City VS Man City,"3,2",14/09/2019,15.4,Sun
Watford VS Liverpool,"3,0",29/02/2020,6.6,Rain
Aston Villa VS Liverpool,"7,2",04/10/2020,10.95,Cloud
