date,1961 to 1990 long-term average,1991 to 2020 long-term average,Annual mean temperature,Annual mean temperature (trend)
1884,8.31,9.14,8.48,7.77
1885,8.31,9.14,7.36,7.77
1886,8.31,9.14,7.45,7.78
1887,8.31,9.14,7.51,7.79
1888,8.31,9.14,7.28,7.81
1889,8.31,9.14,8.02,7.84
1890,8.31,9.14,7.96,7.87
1891,8.31,9.14,7.6,7.89
1892,8.31,9.14,7.02,7.92
1893,8.31,9.14,8.78,7.95
1894,8.31,9.14,8.19,7.98
1895,8.31,9.14,7.55,8.01
1896,8.31,9.14,8.26,8.03
1897,8.31,9.14,8.23,8.06
1898,8.31,9.14,8.88,8.08
1899,8.31,9.14,8.56,8.1
1900,8.31,9.14,8.29,8.11
1901,8.31,9.14,8.08,8.13
1902,8.31,9.14,7.73,8.13
1903,8.31,9.14,8.02,8.14
1904,8.31,9.14,7.99,8.15
1905,8.31,9.14,8.19,8.15
1906,8.31,9.14,8.29,8.15
1907,8.31,9.14,7.83,8.16
1908,8.31,9.14,8.31,8.15
1909,8.31,9.14,7.52,8.15
1910,8.31,9.14,8.09,8.16
1911,8.31,9.14,8.81,8.16
1912,8.31,9.14,8.17,8.16
1913,8.31,9.14,8.59,8.16
1914,8.31,9.14,8.7,8.16
1915,8.31,9.14,7.81,8.16
1916,8.31,9.14,8.1,8.16
1917,8.31,9.14,7.52,8.16
1918,8.31,9.14,8.33,8.17
1919,8.31,9.14,7.42,8.17
1920,8.31,9.14,8.46,8.18
1921,8.31,9.14,9.24,8.2
1922,8.31,9.14,7.63,8.2
1923,8.31,9.14,7.97,8.21
1924,8.31,9.14,8.19,8.23
1925,8.31,9.14,8.12,8.24
1926,8.31,9.14,8.59,8.25
1927,8.31,9.14,8.07,8.26
1928,8.31,9.14,8.35,8.27
1929,8.31,9.14,7.98,8.29
1930,8.31,9.14,8.29,8.31
1931,8.31,9.14,7.98,8.33
1932,8.31,9.14,8.35,8.35
1933,8.31,9.14,8.82,8.37
1934,8.31,9.14,8.87,8.39
1935,8.31,9.14,8.52,8.4
1936,8.31,9.14,8.26,8.42
1937,8.31,9.14,8.33,8.43
1938,8.31,9.14,8.92,8.44
1939,8.31,9.14,8.57,8.45
1940,8.31,9.14,8.01,8.45
1941,8.31,9.14,7.96,8.46
1942,8.31,9.14,8.03,8.47
1943,8.31,9.14,8.88,8.48
1944,8.31,9.14,8.44,8.48
1945,8.31,9.14,9.13,8.49
1946,8.31,9.14,8.35,8.49
1947,8.31,9.14,8.37,8.49
1948,8.31,9.14,8.81,8.49
1949,8.31,9.14,9.34,8.48
1950,8.31,9.14,8.3,8.47
1951,8.31,9.14,8.11,8.45
1952,8.31,9.14,7.99,8.43
1953,8.31,9.14,8.91,8.42
1954,8.31,9.14,8.13,8.4
1955,8.31,9.14,8.23,8.39
1956,8.31,9.14,7.9,8.38
1957,8.31,9.14,8.84,8.36
1958,8.31,9.14,8.25,8.35
1959,8.31,9.14,9.24,8.33
1960,8.31,9.14,8.54,8.31
1961,8.31,9.14,8.67,8.29
1962,8.31,9.14,7.56,8.28
1963,8.31,9.14,7.4,8.26
1964,8.31,9.14,8.31,8.26
1965,8.31,9.14,7.75,8.26
1966,8.31,9.14,8.19,8.26
1967,8.31,9.14,8.47,8.27
1968,8.31,9.14,8.16,8.27
1969,8.31,9.14,8.12,8.28
1970,8.31,9.14,8.31,8.29
1971,8.31,9.14,8.73,8.3
1972,8.31,9.14,8.1,8.3
1973,8.31,9.14,8.43,8.3
1974,8.31,9.14,8.38,8.3
1975,8.31,9.14,8.77,8.31
1976,8.31,9.14,8.74,8.32
1977,8.31,9.14,8.27,8.33
1978,8.31,9.14,8.23,8.34
1979,8.31,9.14,7.59,8.35
1980,8.31,9.14,8.26,8.36
1981,8.31,9.14,8.1,8.38
1982,8.31,9.14,8.66,8.4
1983,8.31,9.14,8.83,8.42
1984,8.31,9.14,8.57,8.44
1985,8.31,9.14,7.78,8.46
1986,8.31,9.14,7.67,8.49
1987,8.31,9.14,7.99,8.52
1988,8.31,9.14,8.73,8.57
1989,8.31,9.14,9.23,8.62
1990,8.31,9.14,9.38,8.66
1991,8.31,9.14,8.54,8.7
1992,8.31,9.14,8.69,8.75
1993,8.31,9.14,8.33,8.8
1994,8.31,9.14,8.89,8.85
1995,8.31,9.14,9.17,8.9
1996,8.31,9.14,8.18,8.94
1997,8.31,9.14,9.41,8.98
1998,8.31,9.14,9.16,9.02
1999,8.31,9.14,9.37,9.05
2000,8.31,9.14,9.1,9.09
2001,8.31,9.14,8.8,9.12
2002,8.31,9.14,9.44,9.14
2003,8.31,9.14,9.47,9.16
2004,8.31,9.14,9.44,9.17
2005,8.31,9.14,9.42,9.19
2006,8.31,9.14,9.7,9.2
2007,8.31,9.14,9.56,9.21
2008,8.31,9.14,9.02,9.22
2009,8.31,9.14,9.14,9.23
2010,8.31,9.14,7.94,9.23
2011,8.31,9.14,9.61,9.25
2012,8.31,9.14,8.74,9.27
2013,8.31,9.14,8.74,9.28
2014,8.31,9.14,9.88,9.31
2015,8.31,9.14,9.18,9.33
2016,8.31,9.14,9.29,9.35
2017,8.31,9.14,9.53,9.37
2018,8.31,9.14,9.45,9.38
2019,8.31,9.14,9.39,9.39
2020,8.31,9.14,9.62,9.41
2021,8.31,9.14,9.28,9.41
2022,8.31,9.14,10.03,9.42
