Season,Player,Nationality,Club,Clean sheets
2004–05,Petr Čech (1),Czech Republic,Chelsea‡,24#
2005–06,Pepe Reina (1),Spain,Liverpool,20
2006–07,Pepe Reina (2),Spain,Liverpool,19
2007–08,Pepe Reina (3),Spain,Liverpool,18
2008–09,Edwin van der Sar,Netherlands,Manchester United‡,21
2009–10,Petr Čech (2),Czech Republic,Chelsea‡,17
2010–11,Joe Hart (1),England,Manchester City,18
2011–12,Joe Hart (2),England,Manchester City‡,17
2012–13,Joe Hart (3),England,Manchester City,18
2013–14†,Petr Čech (3),Czech Republic,Chelsea,16
2013–14†,Wojciech Szczęsny,Poland,Arsenal,16
2014–15,Joe Hart (4),England,Manchester City,14
2015–16,Petr Čech (4),Czech Republic,Arsenal,16
2016–17,Thibaut Courtois,Belgium,Chelsea‡,16
2017–18,David de Gea (1),Spain,Manchester United,18
2018–19,Alisson (1),Brazil,Liverpool,21
2019–20,Ederson (1),Brazil,Manchester City,16
2020–21,Ederson (2),Brazil,Manchester City‡,19
2021–22†,Alisson (2),Brazil,Liverpool,20
2021–22†,Ederson (3),Brazil,Manchester City‡,20
2022–23,David de Gea (2),Spain,Manchester United,17
2023–24,David Raya,Spain,Arsenal,16
