date,Player,Nationality,Club,Clean sheets
2004,Petr Čech (1),Czech Republic,Chelsea‡,24
2005,Pepe Reina (1),Spain,Liverpool,20
2006,Pepe Reina (2),Spain,Liverpool,19
2007,Pepe Reina (3),Spain,Liverpool,18
2008,Edwin van der Sar,Netherlands,Manchester United‡,21
2009,Petr Čech (2),Czech Republic,Chelsea‡,17
2010,Joe Hart (1),England,Manchester City,18
2011,Joe Hart (2),England,Manchester City‡,17
2012,Joe Hart (3),England,Manchester City,18
2013,Wojciech Szczęsny,Poland,Arsenal,16
2013,Petr Čech (3),Czech Republic,Chelsea,16
2014,Joe Hart (4),England,Manchester City,14
2015,Petr Čech (4),Czech Republic,Arsenal,16
2016,Thibaut Courtois,Belgium,Chelsea‡,16
2017,David de Gea (1),Spain,Manchester United,18
2018,Alisson (1),Brazil,Liverpool,21
2019,Ederson (1),Brazil,Manchester City,16
2020,Ederson (2),Brazil,Manchester City‡,19
2021,Alisson (2),Brazil,Liverpool,20
2021,Ederson (3),Brazil,Manchester City‡,20
2022,David de Gea (2),Spain,Manchester United,17
2023,David Raya,Spain,Arsenal,16
